"","x"
"(Intercept)",-1.96081476244239
"as.factor(hod)1",-0.182527126205437
"as.factor(hod)2",-0.184695083676413
"as.factor(hod)3",-0.454110290319225
"as.factor(hod)4",-0.364113681333382
"as.factor(hod)5",-0.319422368041099
"as.factor(hod)6",0.65200048962864
"as.factor(hod)7",3.04777106151178
"as.factor(hod)8",5.41545415504521
"as.factor(hod)9",3.84465225959434
"as.factor(hod)10",2.12786413102316
"as.factor(hod)11",2.04931584495488
"as.factor(hod)12",2.4208092757781
"as.factor(hod)13",2.57036745055198
"as.factor(hod)14",3.2752244100855
"as.factor(hod)15",4.56848731504823
"as.factor(hod)16",5.90255454286209
"as.factor(hod)17",7.17472071462129
"as.factor(hod)18",4.90678168951905
"as.factor(hod)19",2.22756321517964
"as.factor(hod)20",1.47393357279339
"as.factor(hod)21",1.32568547756664
"as.factor(hod)22",1.15284984460212
"as.factor(hod)23",0.815520194653106
"dist_km",2.72306778181741
"dc",3.0798139938458
"season2",0.132219187207872
"season3",0.0530084030803796
"season4",0.480027686663717
"quarter",-0.00597775045502366
